entry_date,symbol,purchase_price_per_unit,quantity,purchase_brokerage,total_purchase_price
1-Mar-21,ABB,1546.94,9,60.95,13983.41
30-Apr-21,JSLHISAR,164.5,100,72.01,16522.01
13-Aug-21,VIPIND,456,40,79.84,18319.84
20-Aug-21,LINDEINDIA,1948.3,9,76.68,17611.38
27-Sep-21,GNFC,421.5,42,77.66,17780.66
15-Nov-21,THERMAX,1596.25,11,76.86,17635.61
15-Nov-21,ATGL,1652,10,72.31,16592.31
29-Nov-21,VEDL,353,50,76.82,17726.82
13-Dec-21,ADANIENT,1757.4,10,76.92,17650.92
20-Dec-21,POWERGRID,210.55,80,73.29,16917.29
24-Jan-22,SHARDACROP,454.3,38,75.57,17338.97
31-Jan-22,GAEL,214.95,80,75.27,17271.27
7-Feb-22,BANKBARODA,109.05,160,76.37,17524.37
7-Feb-22,CGCL,615,28,75.38,17295.38
7-Feb-22,HINDALCO,530.05,33,76.56,17568.21